Başlık,Yayınevi,Yazar,İndirimli Fiyat (TL),İndirimsiz Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Engereğin Gözü,İnkılap Kitabevi,Zülfü Livaneli,196.00,280.00,30,5.0
Gökçen 3: Güz Yağmurları - Hediyeli Özel Kutu,Ephesus Yayınları,Loresima,343.85,529.00,35,Yok
Beyaz Leke,İndigo Kitap,Aslı Arslan,299.40,499.00,40,Yok
Kazazede - 1 Kutulu Set,Pukka Yayınları,Şevval Demirdöğer,281.40,469.00,40,Yok
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,259.35,399.00,35,Yok
Martin Eden,İş Bankası Kültür Yayınları,Jack London,102.00,170.00,40,Yok
Oyuncak Müzesi 1,Guardian,Emre Gül,239.40,399.00,40,Yok
Gökçen - 3: Güz Yağmurları,Ephesus Yayınları,Loresima,259.35,399.00,35,Yok
Bir Kibritle Yok Olmak 1 Özel Kutulu Set,Guardian,Özge Naz,317.40,529.00,40,Yok
Bir İdam Mahkumunun Son Günü,İş Bankası Kültür Yayınları,Victor Hugo,33.60,56.00,40,Yok
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,259.35,399.00,35,Yok
Medusa`nın Ölü Kumları 2,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
İçinde Bir Sen 4 - Azlem,Dokuz Yayınları,Binnur Şafak Nigiz,180.00,300.00,40,Yok
Yeraltından Notlar,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,49.20,82.00,40,Yok
Tadında Aşk Var Kutu Set,Pukka Yayınları,Tuğba Atıcı Coşar,281.40,469.00,40,Yok
Yaşamak,Jaguar Kitap,Yu Hua,130.00,200.00,35,Yok
İnsanlığımı Yitirirken,İthaki Yayınları,Osamu Dazai,72.00,120.00,40,Yok
Gümüş Yürek 1: Kayıp Dünyanın Başlangıcı Özel Kutulu,Guardian,D. N. Archeron,359.40,599.00,40,5.0
I·çinde Bir Sen 4 - Azlem,Dokuz Yayınları,Binnur Şafak Nigiz,216.00,360.00,40,5.0
Kürk Mantolu Madonna,Yapı Kredi Yayınları,Sabahattin Ali,27.00,45.00,40,Yok
Oyuncak Müzesi 1 Ciltli Özel Kutulu Set,Guardian,Emre Gül,317.40,529.00,40,Yok
Bir Kabusa Dalmak,Artemis Yayınları,R. Ayça Kavraz,243.75,375.00,35,5.0
Doksan Artı Dört - 2 Kutulu Set,Pukka Yayınları,Gülben Sakar,269.40,449.00,40,5.0
Gökçen - 3: Güz Yağmurları,Ephesus Yayınları,Loresima,239.85,369.00,35,5.0
Gurur ve Önyargı,İş Bankası Kültür Yayınları,Jane Austen,111.60,186.00,40,Yok
Gece Yarısı Kütüphanesi,Domingo Yayınevi,Matt Haig,177.00,295.00,40,Yok
Parçalanmış Ruhlar,Artemis Yayınları,Neva Altaj,152.75,235.00,35,5.0
Sevgilim Arrow,Lapis Kitap,Saffron A. Kent,162.00,324.00,50,0.0
Gelsen de Artık Geç Kalınmışlıklara,İkinci Adam Yayınları,Şeref Özsoy,65.00,100.00,35,5.0
İhtilal 1 - Zelzele - Kutulu Set,Dokuz Yayınları,Binnur Şafak Nigiz,270.00,450.00,40,Yok
Doksan Artı Dört - 1,Pukka Yayınları,Gülben Sakar,233.40,389.00,40,5.0
İhtilal 1 - Zelzele,Dokuz Yayınları,Binnur Şafak Nigiz,252.00,420.00,40,Yok
Bu Defa Prenses Kendini Kurtarıyor,Pegasus Yayınları,Amanda Lovelace,194.99,299.98,35,Yok
Dünya’nın Merkezine Yolculuk,İş Bankası Kültür Yayınları,Jules Verne,26.40,44.00,40,Yok
Maeve Kerrigan Serisi 10 - Çıkmaz,Olimpos Yayınları,Jane Casey,191.95,349.00,45,5.0
Beni Gözünüzde Büyütmeyin!,Doğan Kitap,Gülse Birsel,154.00,220.00,30,5.0
ALTINCI KOĞUŞ,İş Bankası Kültür Yayınları,Anton Pavloviç Çehov,39.60,66.00,40,Yok
Buzdan Kıvılcım Zirve Ötesi Serisi - 1,İndigo Kitap,Adora Yağmur,233.40,389.00,40,Yok
Kazazede - 1,Pukka Yayınları,Şevval Demirdöğer,215.40,359.00,40,5.0
Acıların Hükümdarı - Wisteria 2,İndigo Kitap,Adora Yağmur,245.40,409.00,40,Yok
Emare - Sarmaşık,İndigo Kitap,Aslı Arslan,251.40,419.00,40,Yok
Petey (Eleştirel Okuma Kitabı Eki İle Birlikte),Beyaz Balina Yayınları,Ben Mikaelsen,157.50,225.00,30,Yok
1984,Can Yayınları,George Orwell,93.00,155.00,40,Yok
Yanan Altı Gül,Martı Yayınları,Carissa Broadbent,60.00,120.00,50,Yok
Azrail,Martı Yayınları,Runyx,97.50,195.00,50,5.0
Sokak Nöbetçileri Seti 4 Kitap Kutulu,İndigo Kitap,Aslı Arslan,1.101.60,1.836.00,40,5.0
Genç Werther’in Acıları,İş Bankası Kültür Yayınları,Johann Wolfgang von Goethe,54.00,90.00,40,Yok
MARTI,İş Bankası Kültür Yayınları,Anton Pavloviç Çehov,45.60,76.00,40,4.5
Theo’yu Seçmek,Pukka Yayınları,Victoria Aveline,191.40,319.00,40,5.0
Ölü Şehrin Şarkısı Ciltli Kutulu İmzalı,Ren Kitap,Dilara Özçelik,247.50,450.00,45,5.0
Molly Nerede,Lapis Kitap,H. D. Carlton,149.50,299.00,50,Yok
Enkaz Altındakiler,İndigo Kitap,Beyza Alkoç,233.40,389.00,40,Yok
Beyaz Zambaklar Ülkesinde,İndigo Kitap,Grigori Spiridonoviç Petrov,54.00,90.00,40,Yok
Kuyucaklı Yusuf,Yapı Kredi Yayınları,Sabahattin Ali,39.00,65.00,40,Yok
Kutlu Olsun - 1 Kutulu Set,Pukka Yayınları,Ayça T. K.,269.40,449.00,40,Yok
Pusula 1: Kolezyum,Ephesus Yayınları,Kader Arvas,252.85,389.00,35,5.0
Bilinmeyen Bir Kadının Mektubu,İş Bankası Kültür Yayınları,Stefan Zweig,38.40,64.00,40,Yok
Uğultulu Tepeler,Can Yayınları,Emily Bronte,132.00,220.00,40,Yok
Bir Kabusa Uyanmak,Artemis Yayınları,R. Ayça Kavraz,243.75,375.00,35,Yok
Karanlığın Şehri 2,İndigo Kitap,Şule Avlamaz,299.40,499.00,40,5.0
Ötanazi Okulu,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,5.0
Yere Yakın Yıldızlara Uzak,Epsilon Yayınevi,Emine Tavuz,206.50,295.00,30,Yok
Balonla Beş Hafta Kısaltılmış Metin,İş Bankası Kültür Yayınları,Jules Verne,26.40,44.00,40,Yok
İnsan Neyle Yaşar?,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,39.60,66.00,40,Yok
Emare - Maske,İndigo Kitap,Aslı Arslan,299.40,499.00,40,5.0
Dönüşüm,İş Bankası Kültür Yayınları,Franz Kafka,26.40,44.00,40,Yok
Kopuk Bağlar,Olimpos Yayınları,J. Bree,164.45,299.00,45,Yok
Bir İhtimal Daha,Olimpos Yayınları,Rebecca Yarros,164.45,299.00,45,Yok
Gölgenin Güneşi 3 – Rütbe Meselesi,Parola Yayınları,Meryem Soylu,198.00,330.00,40,Yok
Pusula 3: Konsorsiyum,Ephesus Yayınları,Kader Arvas,252.85,389.00,35,5.0
Son Ada’nın Çocukları,İnkılap Kitabevi,Zülfü Livaneli,168.00,240.00,30,5.0
Monte Cristo Kontu - 2 Kitap Takım,İş Bankası Kültür Yayınları,Alexandre Dumas,324.00,540.00,40,Yok
Sokak Nöbetçileri 3,İndigo Kitap,Aslı Arslan,215.40,359.00,40,5.0
Emare - Pusula,İndigo Kitap,Aslı Arslan,233.40,389.00,40,5.0
Masal Masal İçinde,Yapı Kredi Yayınları,Ahmet Ümit,96.00,160.00,40,5.0
Beyaz Geceler,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,40.80,68.00,40,Yok
