Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Bir İdam Mahkumunun Son Günü,İş Bankası Kültür Yayınları,Victor Hugo,30.00,21.60,Yok,Yok
Suç ve Ceza,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,110.00,79.20,Yok,Yok
Saç Örgüsü,Yan Pasaj Yayınevi,Laetitia Colombani,115.00,88.55,Yok,Yok
Emare - Sarmaşık,İndigo Kitap,Aslı Arslan,279.00,186.93,Yok,Yok
İnsanlığımı Yitirirken,İthaki Yayınları,Osamu Dazai,66.00,48.84,Yok,Yok
Yaşamak,Jaguar Kitap,Yu Hua,98.00,65.66,Yok,Yok
Gece Yarısı Kütüphanesi,Domingo Yayınevi,Matt Haig,128.00,76.80,Yok,Yok
İnce Memed - 1,Yapı Kredi Yayınları,Yaşar Kemal,250.00,180.00,Yok,Yok
İnsan Neyle Yaşar?,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,28.00,20.16,Yok,Yok
Yeraltından Notlar,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,34.00,24.48,Yok,Yok
Anna Karenina,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,156.00,112.32,Yok,Yok
Simyacı,Can Yayınları,Paulo Coelho,125.00,90.00,Yok,Yok
Bir Aşk Masalı,Yapı Kredi Yayınları,Ahmet Ümit,85.00,61.20,Yok,Yok
Damızlık Kızın Öyküsü,Doğan Kitap,Margaret Atwood,185.00,125.80,Yok,Yok
Beyaz Geceler,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,38.00,27.36,Yok,Yok
Bir İdam Mahkumunun Son Günü,İş Bankası Kültür Yayınları,Victor Hugo,30.00,21.60,Yok,Yok
Suç ve Ceza,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,110.00,79.20,Yok,Yok
Saç Örgüsü,Yan Pasaj Yayınevi,Laetitia Colombani,115.00,88.55,Yok,Yok
Emare - Sarmaşık,İndigo Kitap,Aslı Arslan,279.00,186.93,Yok,Yok
İnsanlığımı Yitirirken,İthaki Yayınları,Osamu Dazai,66.00,48.84,Yok,Yok
Yaşamak,Jaguar Kitap,Yu Hua,98.00,65.66,Yok,Yok
Gece Yarısı Kütüphanesi,Domingo Yayınevi,Matt Haig,128.00,76.80,Yok,Yok
İnce Memed - 1,Yapı Kredi Yayınları,Yaşar Kemal,250.00,180.00,Yok,Yok
İnsan Neyle Yaşar?,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,28.00,20.16,Yok,Yok
Yeraltından Notlar,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,34.00,24.48,Yok,Yok
Anna Karenina,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,156.00,112.32,Yok,Yok
Simyacı,Can Yayınları,Paulo Coelho,125.00,90.00,Yok,Yok
Bir Aşk Masalı,Yapı Kredi Yayınları,Ahmet Ümit,85.00,61.20,Yok,Yok
Damızlık Kızın Öyküsü,Doğan Kitap,Margaret Atwood,185.00,125.80,Yok,Yok
Beyaz Geceler,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,38.00,27.36,Yok,Yok
Bir İdam Mahkumunun Son Günü,İş Bankası Kültür Yayınları,Victor Hugo,30.00,21.60,Yok,Yok
